recipient,hops,pingsSent,acks,avgLatency,batteryLevel
anna,1,100,1,0.598419010639191,0.56
jdot,2,100,1,0.27454400062561,0.56
jdot,2,100,2,0.320410013198853,0.56
anna,1,100,2,0.644248485565186,0.56
anna,1,100,3,0.678267319997152,0.56
jdot,2,100,3,0.374296327431997,0.56
anna,1,100,4,0.722169741988182,0.56
jdot,2,100,4,0.422911748290062,0.56
anna,1,100,5,0.760275197029114,0.56
jdot,2,100,5,0.469536602497101,0.56
anna,1,100,6,0.795636663834254,0.56
anna,1,100,7,0.82849657535553,0.56
jdot,2,100,6,0.52051983277003,0.56
anna,1,100,8,0.860093750059605,0.56
jdot,2,100,7,0.569773001330239,0.56
anna,1,100,9,0.900322887632582,0.56
jdot,2,100,8,0.620971754193306,0.56
anna,1,100,10,0.941040396690369,0.56
jdot,2,100,9,0.67110311322742,0.56
anna,1,100,11,0.979124540632421,0.56
anna,1,100,12,1.0154722481966,0.56
jdot,2,100,10,0.71983460187912,0.56
anna,1,100,13,1.05052992472282,0.56
jdot,2,100,11,0.773386727679859,0.56
anna,1,100,14,1.08851478781019,0.56
anna,1,100,15,1.12527660131454,0.56
jdot,2,100,12,0.824830914537112,0.57
anna,1,100,16,1.16267075389624,0.57
jdot,2,100,13,0.875285075261043,0.57
anna,1,100,17,1.20072594460319,0.57
jdot,2,100,14,0.924912214279175,0.57
jdot,2,100,15,0.973567469914754,0.57
jdot,2,100,16,1.02156581357121,0.57
anna,1,100,18,1.24612894654274,0.57
anna,1,100,19,1.28989294955605,0.57
jdot,2,100,17,1.07096423822291,0.57
anna,1,100,20,1.33338660299778,0.57
jdot,2,100,18,1.12144728170501,0.57
anna,1,100,21,1.38002833865938,0.57
jdot,2,100,19,1.17140963516737,0.57
jdot,2,100,20,1.2208810031414,0.57
anna,1,100,22,1.4308565502817,0.57
jdot,2,100,21,1.26961328869774,0.57
jdot,2,100,22,1.31799891049212,0.57
jdot,2,100,23,1.36598352245663,0.57
jdot,2,100,24,1.41376958290736,0.57
anna,1,100,23,1.49004082835239,0.57
jdot,2,100,25,1.46111523866653,0.57
anna,1,100,24,1.5478656689326,0.57
jdot,2,100,26,1.5082374215126,0.57
jdot,2,100,27,1.5574590365092,0.57
anna,1,100,25,1.61070416212082,0.57
jdot,2,100,28,1.60729171335697,0.57
anna,1,100,26,1.67388000167333,0.57
jdot,2,100,29,1.65765499863131,0.57
anna,1,100,27,1.73672689111144,0.57
jdot,2,100,30,1.70967470010122,0.57
anna,1,100,28,1.8023896089622,0.57
jdot,2,100,31,1.76232787101499,0.57
jdot,2,100,32,1.81423068605363,0.57
anna,1,100,29,1.86856410421174,0.57
jdot,2,100,33,1.86559936133298,0.57
jdot,2,100,34,1.91661117357366,0.57
anna,1,100,30,1.9374437669913,0.57
jdot,2,100,35,1.96721305336271,0.57
anna,1,100,31,2.00661909772504,0.57
jdot,2,100,36,2.01909230152766,0.57
jdot,2,100,37,2.0721224836401,0.57
anna,1,100,32,2.07695150189102,0.57
jdot,2,100,38,2.12470702434841,0.57
jdot,2,100,39,2.17687002359292,0.57
anna,1,100,33,2.15009982116295,0.57
jdot,2,100,40,2.23168472349644,0.57
jdot,2,100,41,2.28589694965176,0.57
anna,1,100,34,2.22599729720284,0.57
jdot,2,100,42,2.33968178431193,0.57
jdot,2,100,43,2.39298046466916,0.57
anna,1,100,35,2.30272789001465,0.57
jdot,2,100,44,2.44650204479694,0.57
anna,1,100,36,2.38004117045138,0.57
jdot,2,100,45,2.4996201104588,0.57
jdot,2,100,46,2.55360115092734,0.57
jdot,2,100,47,2.60712676479461,0.57
anna,1,100,37,2.46035213889302,0.57
jdot,2,100,48,2.6602310401698,0.57
jdot,2,100,49,2.71298787666827,0.57
anna,1,100,38,2.541871004983,0.57
jdot,2,100,50,2.76530641913414,0.57
jdot,2,100,51,2.81731146924636,0.57
jdot,2,100,52,2.86907486388317,0.57
anna,1,100,39,2.62595395399974,0.57
jdot,2,100,53,2.92048369601088,0.57
jdot,2,100,54,2.97161423828867,0.57
anna,1,100,40,2.71035210490227,0.57
jdot,2,100,55,3.02245806997473,0.57
jdot,2,100,56,3.07304290788514,0.57
jdot,2,100,57,3.1238910670866,0.57
anna,1,100,41,2.79708588268699,0.57
jdot,2,100,58,3.17450320309606,0.57
jdot,2,100,59,3.22489991228459,0.57
anna,1,100,42,2.88398926598685,0.57
jdot,2,100,60,3.27511513034503,0.57
jdot,2,100,61,3.32563911109674,0.57
anna,1,100,43,2.97231574807056,0.57
jdot,2,100,62,3.37637394762808,0.57
jdot,2,100,63,3.4273333454889,0.57
anna,1,100,44,3.06210786781528,0.57
jdot,2,100,64,3.47854759078473,0.57
jdot,2,100,65,3.53045270442963,0.57
anna,1,100,45,3.15324460400475,0.57
jdot,2,100,66,3.58305099696824,0.57
jdot,2,100,67,3.63544650398084,0.57
anna,1,100,46,3.24614826492641,0.57
jdot,2,100,68,3.68757362926708,0.57
jdot,2,100,69,3.73937408388525,0.57
jdot,2,100,70,3.79102848257337,0.57
anna,1,100,47,3.34087957853967,0.57
jdot,2,100,71,3.84284789881236,0.57
jdot,2,100,72,3.89444808082448,0.57
jdot,2,100,73,3.94580775091093,0.57
anna,1,100,48,3.43770379573107,0.57
jdot,2,100,74,3.99696578206243,0.57
jdot,2,100,75,4.04792987823486,0.57
jdot,2,100,76,4.09870149822612,0.57
anna,1,100,49,3.53560343323922,0.57
jdot,2,100,77,4.14928182920852,0.57
jdot,2,100,78,4.19974247232462,0.57
jdot,2,100,79,4.24999614984174,0.57
jdot,2,100,80,4.30040016099811,0.57
anna,1,100,50,3.63708226442337,0.57
jdot,2,100,81,4.35063271463653,0.57
jdot,2,100,82,4.40075608361058,0.57
anna,1,100,51,3.73923108273861,0.57
jdot,2,100,83,4.4506794681032,0.57
jdot,2,100,84,4.50085840267794,0.57
jdot,2,100,85,4.55155899805181,0.57
anna,1,100,52,3.84332581208302,0.57
jdot,2,100,86,4.60491901012354,0.57
anna,1,100,53,3.94959926942609,0.57
jdot,2,100,87,4.65843683755261,0.57
jdot,2,100,88,4.71204097568989,0.57
anna,1,100,54,4.05794306044225,0.57
jdot,2,100,89,4.76674051499099,0.57
jdot,2,100,90,4.82152174247636,0.57
anna,1,100,55,4.1683201323856,0.57
jdot,2,100,91,4.8764181628332,0.57
jdot,2,100,92,4.9317078674617,0.57
jdot,2,100,93,4.98675675097332,0.57
anna,1,100,56,4.28115202273641,0.57
jdot,2,100,94,5.04197914739873,0.57
jdot,2,100,95,5.09695731401443,0.57
jdot,2,100,96,5.15167967478434,0.57
jdot,2,100,97,5.20620232759063,0.57
jdot,2,100,98,5.26051723227209,0.57
anna,1,100,57,4.39887979365232,0.57
jdot,2,100,99,5.31519516911169,0.57
jdot,2,100,100,5.36996576726437,0.57
anna,1,100,58,4.51820721091895,0.57
anna,1,100,59,4.64008880065659,0.57
anna,1,100,60,4.76437717080116,0.57
anna,1,100,61,4.890908709315,0.57
anna,1,100,62,5.02105774610273,0.57
anna,1,100,63,5.15327122570976,0.57
anna,1,100,64,5.2901958161965,0.57
anna,1,100,65,5.429779619437,0.57
anna,1,100,66,5.57238910956816,0.57
anna,1,100,67,5.71789009268604,0.57
anna,1,100,68,5.8665825032136,0.57
anna,1,100,69,6.02005656819413,0.57
anna,1,100,70,6.17637516004699,0.57
anna,1,100,71,6.33544391813413,0.57
anna,1,100,72,6.49923071016868,0.57
anna,1,100,73,6.66669861829444,0.57
anna,1,100,74,6.8377123394528,0.57
anna,1,100,75,7.01216321468353,0.57
anna,1,100,76,7.18987089630805,0.57
anna,1,100,77,7.37191411814132,0.57
anna,1,100,78,7.55846794981223,0.57
anna,1,100,79,7.74898939343948,0.57
anna,1,100,80,7.94221920073033,0.57
anna,1,100,81,8.13879591447336,0.57
anna,1,100,82,8.33897129355408,0.57
anna,1,100,83,8.54330413312797,0.57
anna,1,100,84,8.75060398876667,0.57
anna,1,100,85,8.96218509463703,0.57
anna,1,100,86,9.17719326809396,0.57
anna,1,100,87,9.39685967872883,0.57
anna,1,100,88,9.61969889768146,0.57
anna,1,100,89,9.84626050544589,0.57
anna,1,100,90,10.07643293341,0.57
anna,1,100,91,10.310410286044,0.57
anna,1,100,92,10.548074717107,0.57
anna,1,100,93,10.7899675157762,0.57
anna,1,100,94,11.0356105845025,0.57
anna,1,100,95,11.2851964624305,0.57
anna,1,100,96,11.5392280307909,0.57
anna,1,100,97,11.7969701750991,0.57
anna,1,100,98,12.0585251730316,0.57
anna,1,100,99,12.3238611407954,0.57
anna,1,100,100,12.594068249464,0.57
